,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.670982360839844,102223600,86.12999725341797,86.30999755859375,85.5,85.94999694824219,79.93672943115234,22483800,52.6510009765625,53.79899978637695,52.6510009765625,53.660499572753906,53.59898376464844,31766000,58.599998474121094,59.5,58.5255012512207,59.45050048828125,59.45050048828125,53890000,20.799999237060547,21.474000930786133,20.733333587646484,21.368667602539062,21.368667602539062,65283000
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.66388702392578,118071600,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,80.3087387084961,26061400,53.69649887084961,54.80500030517578,53.67150115966797,54.57600021362305,54.51343536376953,31318000,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,60.209999084472656,62176000,21.399999618530273,21.683332443237305,21.036666870117188,21.149999618530273,21.149999618530273,67822500
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.852783203125,89738400,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,81.01557159423828,21912000,54.85449981689453,55.20399856567383,54.7130012512207,54.78799819946289,54.725189208984375,26052000,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60.47949981689453,60442000,20.857999801635742,21.23666763305664,20.3786678314209,20.974666595458984,20.974666595458984,149194500
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.317893981933594,94640000,87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,82.02001953125,23407100,55.17250061035156,55.67900085449219,55.09000015258789,55.51449966430664,55.45085906982422,30250000,60.8754997253418,61.457000732421875,60.5,61.457000732421875,61.457000732421875,70894000,21.107999801635742,21.14933204650879,20.799999237060547,21.10533332824707,21.10533332824707,68868000
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.164424896240234,82271200,88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,82.10372924804688,22113000,55.54999923706055,55.95800018310547,55.5,55.71049880981445,55.64663314819336,24644000,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,62.34349822998047,85590000,21.066667556762695,22.468000411987305,21.03333282470703,22.42733383178711,22.42733383178711,147891000
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.15970993041992,86336000,88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,82.04792022705078,19484300,55.922000885009766,55.922000885009766,55.40999984741211,55.63949966430664,55.575714111328125,26808000,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,62.6349983215332,73226000,22.3439998626709,22.586666107177734,21.82666778564453,22.246000289916992,22.246000289916992,107199000
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.1502685546875,95839600,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,81.67591857910156,18652200,55.349998474121094,55.638999938964844,55.19900131225586,55.50699996948242,55.44336700439453,20734000,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,62.71649932861328,53720000,22.14666748046875,22.46666717529297,22.0,22.31999969482422,22.31999969482422,64648500
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.38401412963867,74670800,88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,81.91770935058594,17808900,55.615501403808594,55.74250030517578,55.32400131225586,55.602500915527344,55.538761138916016,22424000,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,63.83399963378906,62500000,22.349332809448242,22.987333297729492,22.21733283996582,22.530000686645508,22.530000686645508,99682500
